,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More
312,NC,Buncombe,238318,196836.41199999998,129965.3616,272.9662672,0.0
313,IL,Bureau,34978,32216.170939999996,28592.208810000004,6564.597447,0.0
314,GA,Burke,23316,20461.44256,16473.52019,1776.2175140000002,0.0
315,NC,Burke,90912,83103.1073,69898.03595,338.7564544,0.0
316,ND,Burke,1968,1967.9999920000002,1967.9999920000002,1967.9999920000002,1434.003222
317,ND,Burleigh,81308,66428.54022000001,39357.23565,2406.892569,1066.9929240000001
318,TX,Burleson,17187,16281.06414,13920.845730000001,1624.136025,0.0
319,NJ,Burlington,448734,366337.8281,219927.3457,379.8382143,0.0
320,TX,Burnet,42750,38640.30406,33587.44893,5055.695905,0.0
321,WI,Burnett,15457,14522.8783,12826.95405,1564.135533,0.0
322,NE,Burt,6858,5491.655522,5066.135033,3021.546228,0.0
323,AL,Butler,20947,18140.41498,13166.96511,1307.819706,0.0
324,IA,Butler,14867,14155.25456,13024.44697,6747.822802,0.0
325,KS,Butler,65880,57052.934279999994,39887.845069999996,5243.351255,190.7220032
326,KY,Butler,12690,11126.70996,10122.59445,1488.438826,0.0
327,MO,Butler,42794,34335.624939999994,26465.642480000002,3852.8449130000004,0.0
328,NE,Butler,8395,6522.001432999999,5487.612364,1350.434229,0.0
329,OH,Butler,368130,299655.86600000004,169957.4149,0.0,0.0
330,PA,Butler,183862,156879.0841,124573.8682,30.68010141,0.0
331,CA,Butte,220000,164427.9583,91724.51162,1257.679428,0.031394705
332,ID,Butte,2891,2025.6349699999998,1792.600829,605.1645327,212.79766099999998
333,SD,Butte,10110,7583.73832,4944.37313,2320.0149079999997,978.6366982000001
334,GA,Butts,23655,22087.37165,19317.36761,1.9241522359999998,0.0
335,NC,Cabarrus,178011,153737.6097,97364.998,0.0,0.0
336,WV,Cabell,96319,72185.79122,35221.84822,0.0,0.0
337,UT,Cache,112656,95958.47841,61789.42801,933.4331796,0.21175212399999999
338,LA,Caddo,254969,210824.6728,130522.6909,6304.416828,0.0
339,OK,Caddo,29600,25267.897869999997,21946.987680000002,9327.262953,552.9091802
340,CA,Calaveras,45578,40342.60243,34023.864330000004,98.13922213,62.77918217
341,LA,Calcasieu,192768,147605.6183,90190.09859,1739.0170289999999,0.0
342,KY,Caldwell,12984,11439.75797,8351.156547,87.42545589,0.0
343,LA,Caldwell,10132,9499.522112,7487.822118000001,1134.788315,0.0
344,MO,Caldwell,9424,7632.30916,6928.002654999999,1759.108024,0.0
345,NC,Caldwell,83029,75709.61673,61807.987689999994,311.2537652,0.0
346,TX,Caldwell,38066,34193.434180000004,27119.70633,2101.295641,2.255972087
347,VT,Caledonia,31227,25171.09999,21117.403290000002,1903.1030289999999,0.0
348,AL,Calhoun,118572,101156.9481,70224.6772,0.0,0.0
349,AR,Calhoun,5368,5367.999993,5367.999993,3507.6700590000005,0.0
350,FL,Calhoun,14625,13519.50601,12083.616240000001,2587.680796,0.0
351,GA,Calhoun,6694,5977.329462,5125.090806,930.9538462000002,0.0
352,IA,Calhoun,9670,8441.280161,8022.578579000001,4598.139338,0.0
353,IL,Calhoun,5089,4836.2039350000005,4316.923985,792.1971568,0.0
354,MI,Calhoun,136146,112626.6772,72874.3024,3451.7613130000004,0.0
355,MS,Calhoun,14962,12890.47116,11106.60931,530.8499076999999,0.0
356,SC,Calhoun,15175,14636.579819999999,13414.19392,118.1933875,0.0
357,TX,Calhoun,21381,18488.07372,12897.93777,2060.7640539999998,0.0
358,WV,Calhoun,7627,7258.7105599999995,6833.022412,1843.484691,0.0
359,TX,Callahan,13544,12744.2532,10706.3642,1294.993516,0.0
360,MO,Callaway,44332,40209.17299,32121.17689,2984.846321,0.0
361,KY,Calloway,37191,33129.674210000005,22619.30385,2043.740737,0.0
362,WI,Calumet,48971,39447.22917,29109.171469999997,0.0,0.0
363,MD,Calvert,88737,82259.92242,70129.39355,0.0,0.0
364,ID,Camas,1117,1116.999994,1116.999994,1116.999994,926.9119188
365,PA,Cambria,143679,116783.67199999999,76565.17306,0.0,0.0
366,GA,Camden,50513,44942.912469999996,34820.67092,2372.423871,0.0
367,MO,Camden,44002,41656.02251,36728.505430000005,2886.680148,0.0
368,NC,Camden,9980,9979.922031,9972.645057,374.031277,0.0
369,NJ,Camden,513657,363054.2344,145823.3671,0.0,0.0
370,LA,Cameron,6839,6508.564713000001,5780.1677310000005,1681.4412260000001,370.04594060000005
