,State,County,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
473,GA,Harris,"15,700","14,878",822,5.0
474,GA,Hart,"10,402","9,758",644,6.0
475,GA,Heard,"4,913","4,597",316,6.0
476,GA,Henry,"105,040","98,573","6,467",6.0
477,GA,Houston,"65,689","61,864","3,825",6.0
478,GA,Irwin,"3,134","2,872",262,8.0
479,GA,Jackson,"30,748","29,261","1,487",5.0
480,GA,Jasper,"6,441","6,086",355,6.0
481,GA,Jeff,"6,343","5,921",422,7.0
482,GA,Jefferson,"6,367","5,792",575,9.0
483,GA,Jenkins,"3,104","2,846",258,8.0
484,GA,Johnson,"3,872","3,601",271,7.0
485,GA,Jones,"13,477","12,734",743,6.0
486,GA,Lamar,"7,682","7,092",590,8.0
487,GA,Lanier,"3,782","3,530",252,7.0
488,GA,Laurens,"18,642","17,235","1,407",8.0
489,GA,Lee,"14,130","13,379",751,5.0
490,GA,Liberty,"24,973","23,396","1,577",6.0
491,GA,Lincoln,"3,365","3,138",227,7.0
492,GA,Long,"7,086","6,670",416,6.0
493,GA,Lowndes,"50,366","47,392","2,974",6.0
494,GA,Lumpkin,"15,321","14,494",827,5.0
495,GA,McDuffie,"8,786","8,055",731,8.0
496,GA,McIntosh,"5,820","5,442",378,7.0
497,GA,Macon,"4,617","4,193",424,9.0
498,GA,Madison,"12,626","11,926",700,6.0
499,GA,Marion,"3,445","3,155",290,8.0
500,GA,Meriwether,"8,672","7,977",695,8.0
501,GA,Miller,"2,671","2,526",145,5.0
502,GA,Mitchell,"8,717","8,131",586,7.0
503,GA,Monroe,"12,670","11,934",736,6.0
504,GA,Montgomery,"3,712","3,390",322,9.0
505,GA,Morgan,"8,422","7,960",462,6.0
506,GA,Murray,"16,070","14,887","1,183",7.0
507,GA,Muscogee,"78,898","73,014","5,884",8.0
508,GA,Newton,"48,436","45,165","3,271",7.0
509,GA,Oconee,"17,592","16,814",778,4.0
510,GA,Oglethorpe,"6,728","6,355",373,6.0
511,GA,Paulding,"76,339","72,370","3,969",5.0
512,GA,Peach,"11,288","10,394",894,8.0
513,GA,Pickens,"13,876","13,138",738,5.0
514,GA,Pierce,"8,046","7,544",502,6.0
515,GA,Pike,"8,229","7,758",471,6.0
516,GA,Polk,"18,151","16,949","1,202",7.0
517,GA,Pulaski,"4,013","3,749",264,7.0
518,GA,Putnam,"7,802","7,172",630,8.0
519,GA,Quitman,817,761,56,7.0
520,GA,Rabun,"6,504","6,068",436,7.0
521,GA,Randolph,"2,426","2,205",221,9.0
522,GA,Richmond,"84,282","78,051","6,231",7.0
523,GA,Rockdale,"42,272","39,516","2,756",7.0
524,GA,Schley,"2,110","1,970",140,7.0
525,GA,Screven,"5,041","4,622",419,8.0
526,GA,Seminole,"3,090","2,840",250,8.0
527,GA,Spalding,"27,114","24,934","2,180",8.0
528,GA,Stephens,"10,862","10,153",709,7.0
529,GA,Stewart,"2,114","1,968",146,7.0
530,GA,Sumter,"12,832","11,766","1,066",8.0
531,GA,Talbot,"2,696","2,488",208,8.0
532,GA,Taliaferro,593,547,46,8.0
533,GA,Tattnall,"9,277","8,705",572,6.0
534,GA,Taylor,"2,773","2,519",254,9.0
535,GA,Telfair,"4,825","4,405",420,9.0
536,GA,Terrell,"3,632","3,361",271,8.0
537,GA,Thomas,"16,815","15,600","1,215",7.0
538,GA,Tift,"18,347","17,227","1,120",6.0
539,GA,Toombs,"11,864","10,829","1,035",9.0
540,GA,Towns,"3,915","3,607",308,8.0
541,GA,Treutlen,"2,701","2,472",229,9.0
542,GA,Troup,"35,599","33,437","2,162",6.0
543,GA,Turner,"3,192","2,976",216,7.0
544,GA,Twiggs,"2,965","2,695",270,9.0
545,GA,Union,"9,832","9,307",525,5.0
546,GA,Upson,"11,130","10,324",806,7.0
547,GA,Walker,"29,400","27,646","1,754",6.0
548,GA,Walton,"41,677","39,424","2,253",5.0
