,State,County,Population,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment
281,VA,Brunswick,17434,16200.84169,15324.4387,1539.651572,0,6332,5901,431,7
282,GA,Bryan,30233,26896.16985,20407.65145,356.2596742,0,16149,15301,848,5
283,OK,Bryan,42416,35449.99451,29509.70584,6368.785082,683.661876,18340,17502,838,5
284,IA,Buchanan,20958,17773.97305,13252.17248,1849.571979,0,11322,10837,485,4
285,MO,Buchanan,89201,64073.87733,30285.15823,1171.403086,0,46511,44374,2137,5
286,VA,Buchanan,24098,23835.84584,22884.22128,1356.810559,0,7277,6487,790,11
287,VA,Buckingham,17146,16811.07712,16544.60525,2075.183191,0,6293,5920,373,6
288,PA,Bucks,625249,486612.0209,280585.4202,0,0,337571,321809,15762,5
289,NE,Buffalo,46102,35892.35214,21790.73564,9247.005307,376.4715663,27134,26472,662,2
290,SD,Buffalo,1912,1369.839224,908.9407168,350.8595791,75.57940289,714,664,50,7
291,WI,Buffalo,13587,11922.84378,11031.2749,3351.857631,0,6539,6219,320,5
292,KY,Bullitt,74319,62621.12109,45959.25758,1587.812013,0,39107,37323,1784,5
293,GA,Bulloch,70217,64493.1755,45724.72709,2277.344569,0,34740,32636,2104,6
294,AL,Bullock,10914,9409.150328,7362.379027,2465.278359,0,4777,4398,379,8
295,NC,Buncombe,238318,196836.412,129965.3616,272.9662672,0,130400,124712,5688,4
296,IL,Bureau,34978,32216.17094,28592.20881,6564.597447,0,17105,16005,1100,6
297,GA,Burke,23316,20461.44256,16473.52019,1776.217514,0,9131,8390,741,8
298,NC,Burke,90912,83103.1073,69898.03595,338.7564544,0,39325,37114,2211,6
299,ND,Burke,1968,1967.999992,1967.999992,1967.999992,1434.003222,1182,1143,39,3
300,ND,Burleigh,81308,66428.54022,39357.23565,2406.892569,1066.992924,48981,47814,1167,2
301,TX,Burleson,17187,16281.06414,13920.84573,1624.136025,0,7751,7414,337,4
302,NJ,Burlington,448734,366337.8281,219927.3457,379.8382143,0,232623,220189,12434,5
303,TX,Burnet,42750,38640.30406,33587.44893,5055.695905,0,21159,20389,770,4
304,WI,Burnett,15457,14522.8783,12826.95405,1564.135533,0,7279,6769,510,7
305,NE,Burt,6858,5491.655522,5066.135033,3021.546228,0,3609,3478,131,4
306,AL,Butler,20947,18140.41498,13166.96511,1307.819706,0,9134,8440,694,8
307,IA,Butler,14867,14155.25456,13024.44697,6747.822802,0,8285,7920,365,4
308,KS,Butler,65880,57052.93428,39887.84507,5243.351255,190.7220032,32035,30671,1364,4
309,KY,Butler,12690,11126.70996,10122.59445,1488.438826,0,5046,4747,299,6
310,MO,Butler,42794,34335.62494,26465.64248,3852.844913,0,18983,17806,1177,6
